sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	Notes	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:3220775	Acmaeodera tubulus	RO:0002444	Parasite of	EOL:581278	Asclepias tuberosa		GEONAMES:5101760	5 Mi. Beach, New Jersey	40.16706	-74.49987		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220775	Acmaeodera tubulus	RO:0002444	Parasite of	EOL:640323	Cercis canadensis		GEONAMES:5101760	5 Mi. Beach, New Jersey	40.16706	-74.49987		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220775	Acmaeodera tubulus	RO:0002444	Parasite of	EOL:29927	Crataegus		GEONAMES:5101760	5 Mi. Beach, New Jersey	40.16706	-74.49987		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220775	Acmaeodera tubulus	RO:0002444	Parasite of	EOL:1087384	Dasylirion wheeleri		GEONAMES:5101760	5 Mi. Beach, New Jersey	40.16706	-74.49987		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220775	Acmaeodera tubulus	RO:0002444	Parasite of	EOL:37999	Erigeron		GEONAMES:5101760	5 Mi. Beach, New Jersey	40.16706	-74.49987		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220775	Acmaeodera tubulus	RO:0002444	Parasite of	EOL:38128	Hickoria		GEONAMES:5101760	5 Mi. Beach, New Jersey	40.16706	-74.49987		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220775	Acmaeodera tubulus	RO:0002444	Parasite of	EOL:1001759	Hypoxys erecta		GEONAMES:5101760	5 Mi. Beach, New Jersey	40.16706	-74.49987		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220775	Acmaeodera tubulus	RO:0002444	Parasite of	EOL:1151804	Quercus alba		GEONAMES:5101760	5 Mi. Beach, New Jersey	40.16706	-74.49987		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220638	Acmaeodera angelica	RO:0002444	Parasite of	EOL:582478	Ceanothus cuneatus		GEONAMES:5322652	Ahwahnee, California	37.3655	-119.72627		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
EOL:3220638	Acmaeodera angelica	RO:0002444	Parasite of	EOL:582496	Ceanothus integerrimus		GEONAMES:5322652	Ahwahnee, California	37.3655	-119.72627		doi:10.5962/bhl.title.6526	Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.
